Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag
2016-11-14,0,0.0,2.17658330252668e-05,2.17658330252668e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.9797281622886658,0.5596833044844605,1,2.019004015993477,0,0,1
2016-11-15,0,0.0,2.0186866643179258e-05,2.0186866643179258e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.9875418543815613,0.5836971596724492,1,2.0190447733583,0,0,1
2016-11-16,0,0.0,1.8607274248516603e-05,1.8607274248516603e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.9747775197029114,0.6056468136758496,1,2.019082342278118,0,0,1
2016-11-17,0,0.0,1.742216883293679e-05,1.742216883293679e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.9908627271652222,0.6272673215863899,1,2.0191175190715724,0,0,1
2016-11-18,0,0.0,1.742216883293679e-05,1.742216883293679e-05,0.0,hold,2016-06-07,12,0.47,0.65,0.9915129542350769,0.6477108580714888,1,2.0191526964778834,0,0,1
2016-11-21,1,0.0005,0.007551559950591,0.007051559950591001,0.007033347672313749,bull,2016-06-07,12,0.47,0.65,0.9787535667419434,0.6662908576273319,1,2.0333908727664944,1,1,0
2016-11-22,1,0.0,0.0019529778491047,0.0019529778491047,0.0019335807003761384,bull,2016-06-07,12,0.47,0.65,0.9938151836395264,0.6846733855382314,1,2.037362040099579,1,1,0
2016-11-23,1,0.0,0.0005437691884757,0.0005437691884757,0.0005235823218325208,bull,2016-06-07,12,0.47,0.65,0.9951626062393188,0.7020998064550052,1,2.0384698948027555,1,1,0
2016-11-25,1,0.0,0.003715549090042,0.003715549090042,0.0036961519413134386,bull,2016-06-07,12,0.47,0.65,0.9959360361099243,0.7185915668034073,1,2.046043929765468,1,1,0
2016-11-28,1,0.0,-0.0046945150485783,-0.0046945150485783,-0.004713517279641403,bull,2016-06-07,12,0.47,0.65,0.9979068040847778,0.7342683264743001,1,2.0364387457471316,1,1,0
2016-11-29,1,0.0,0.0019502967816635,0.0019502967816635,0.0019312945506003967,bull,2016-06-07,12,0.47,0.65,0.9962343573570251,0.7489713500116417,1,2.040410405679017,1,1,0
